4.7M 20:39 lmas-71F0001-E-1990j
4.7M 18:42 edm-62M0004XCB-F-2001
4.7M 20:57 shs-62M0004-E-2001
4.6M 20:43 pals-82M0023-E-2001
4.6M 16:02 cen-95F0495-E-2001-prof01fsa
4.6M 20:52 saff-71M0016-F-2002
4.6M 20:38 lmas-71F0001-E-1987j
4.6M 20:39 nccs-E-1988-ef
4.5M 18:55 ENV-5232-F-2019-voyage
4.5M 20:43 NTS-5232-E-2019-trip
4.5M 20:56 scf-64M0002-E-1992-hife
4.5M 18:48 efc-13M0002-F-1991-par
4.4M 20:53 scf-13M00004-E-1992-ind
4.4M 20:43 pals-89M0023XCB-E-2006
4.4M 20:56 scf-64M0002-E-1988-hife
4.4M 18:34 eapv-87M0015XCB-F-2006
4.4M 13:28 87M0015XCB-F-2006
4.4M 21:58 tams-87M0015-E-2006
4.4M 19:57 ICC-5323-E-2020-CS
4.4M 18:47 efc-13M0002-F-1987-par
4.4M 20:53 scf-13M00004-E-1988-ind
4.4M 20:44 pses-71M0016-E-2002
4.4M 20:38 lmas-71F0001-E-1988j
4.3M 18:43 edm-62M0004XCB-F-2005
4.3M 20:58 SHS-62M0004XCB-E-2005-PUMF
4.3M 18:45 edtr-75M0001-F-1994-fichier-longitudinal-emploi
4.3M 20:59 slid-75F0011-E-1993j
4.3M 18:28 cts-87M0006-E-1997-pd
4.3M 16:02 cen-E-1981-ea
4.3M 20:48 pumf-95M00-E-1971-individual-province
4.2M 20:56 scf-64M0002-E-1993-hife
4.2M 18:27 cts-87M0006-E-1986-pd
4.2M 21:49 synthetic-cchs-E-2012-mental-health
4.2M 21:43 synthetic-CCHS-E-2009-SubSampleFile
4.2M 18:51 eifc-0662999657-1991-F
4.2M 20:58 siwc-11M0001-E-1991
4.2M 22:29 vas-89M0011-E-1987-volunteer-file
4.2M 18:29 cts-87M0006-E-2002-ptd
4.1M 20:56 scf-64M0002-E-1990-hife
4.1M 18:27 cts-87M0006-E-1986-exp
4.1M 20:57 shs-62M0004-E-1998
4.1M 18:42 edm-62M0004XCB-F-1998
4.1M 18:42 edm-62M0004XCB-F-2000
4.1M 20:57 shs-62M0004-E-2000
4.1M 18:51 elnej-89FOO77XIF-F-1998-1999-c3-fichier-primaire
4.1M 15:52 cen-95F0184-E-1996-fsaprof
4.0M 20:52 saff-71M0016-F-1999
4.0M 20:44 pses-71M0016-E-1999
4.0M 20:57 scf-64M0002-E-1994-hife
4.0M 20:43 NTS-5232-E-2018-visit
4.0M 19:41 ffe-62M0002-E-2001-def
4.0M 18:40 edm-62F0026MIF2005007-F-2004
4.0M 20:58 shs-62M0004-E-2004
4.0M 20:58 shs-62M0004-E-2006
4.0M 18:46 edtr-75M0001-F-1994-fichier-transversale-personnes
3.9M 18:48 efc-13M0002-F-1992-par
3.9M 20:53 scf-13M00004-E-1993-ind
3.9M 18:45 edtr-75M0001-F-1993-fichier-personnes
3.9M 20:41 nlscy-89M0015-E-1994-1995-c-1-r-1-primary-file
3.9M 18:40 eda-62M0002-1984-fd-fr
3.9M 18:49 efc-13M0002-F-1994-par
3.9M 20:53 scf-13M00004-E-1995-ind
3.9M 18:48 efc-13M0002-F-1989-par
3.9M 20:53 scf-13M00004-E-1990-ind
3.9M 19:42 gss-12M0012-E-1998-c-12e
3.9M 19:21 esg-12M0012XCB-F-1998-c12-fichier-periodes
3.9M 20:57 scf-64M0002-E-1995-hife
3.8M 18:28 cts-87M0006-E-1999-ptd
3.8M 20:59 slid-75M0001-E-1994per
3.8M 18:28 cts-87M0006-E-1998-ptd
3.8M 19:41 ffe-62M0002-E-1984-dhf
3.8M 18:48 efc-13M0002-F-1988-par
3.8M 20:53 scf-13M00004-E-1989-ind
3.8M 18:27 cts-87M0006-E-1992-exp
3.7M 20:58 shs-62M0004-E-2007
3.7M 20:42 nlscy-89M0015-E-1998-1999-c-3-primary-file
3.7M 19:20 escc-82M0024-F-2015-nu-gac
3.7M 18:36 ecl-5269-F-2018
3.7M 16:10 CHS-5269-E-2018
3.6M 18:34 eapa-89M0020GPF-F-2001
3.6M 13:47 aps-89M0020-E-2001
3.6M 18:29 cts-87M0006-E-2003-ptf
3.6M 18:45 edtr-75M0001-F-1993-fichier-emploi-vague1
3.6M 18:49 efc-13M0002-F-1993-par
3.6M 20:53 scf-13M00004-E-1994-ind
3.6M 20:59 slid-75M0001-E-1994-lj
3.5M 20:57 scf-64M0002-E-1997-hife
3.5M 18:49 efc-13M0002-F-1996-par
3.5M 20:53 scf-13M00004-E-1997-ind
3.5M 13:31 aets-81M0013-E-1984-m
3.5M 18:47 efc-13M0002-F-1985-par
3.5M 20:53 scf-13M00004-E-1986-ind
3.4M 18:26 cts-87M0006-E-1980-pd
3.4M 18:49 efc-13M0002-F-1995-par
